Album,Song,Streams,Category
Lover,Cruel Summer,1888829670,top
1989,Blank Space,1753533364,top
,I Don’t Wanna Live Forever,1603002461,top
Midnights,Anti-Hero,1457757627,top
1989,Shake It Off,1348490001,top
Lover,Lover,1295965018,top
Folklore,Cardigan,1201056288,top
1989,Style,1100072726,top
Reputation,Look What You Made Me Do,1032961973,top
Reputation,Don’t Blame Me,1003882364,top
Fearless,Untouchable,22408747,bottom
Fearless,Come In With The Rain,16561250,bottom
Fearless,The Other Side Of The Door,14795007,bottom
Fearless,SuperStar,13652015,bottom
Sounds of the Season: The Taylor Swift Holiday Collection,Santa Baby,11564125,bottom
Sounds of the Season: The Taylor Swift Holiday Collection,Christmases When You Were Mine,7272176,bottom
Sounds of the Season: The Taylor Swift Holiday Collection,Christmas Must Be Something More,6622740,bottom
Red,Ronan,6585600,bottom
Sounds of the Season: The Taylor Swift Holiday Collection,White Christmas,5957141,bottom
Sounds of the Season: The Taylor Swift Holiday Collection,Silent Night,5576865,bottom











